cytof_id,Eosinophils,Neutrophils,NonNeutrophils,NonEosinophils,B.cells,NonTB,NK,CD56bright.CD16neg.NK,CD56dim.CD16pos.NK,NonNK,CD14neg.CD16neg,CD123pos,Basophils,pDCs,mDCs,Classical.monocytes,Intermediate.monocytes,Nonclassical.monocytes,T.cells,CD4T,CD4T.TCM,CD4T.Naive,CD4T.TEMRA,CD4T.TEM,Tregs,CD8T,CD8T.TCM,CD8T.Naive,CD8T.TEMRA,CD8T.TEM,HLADRpos.T,TCRgd.cells
453612816,2.4794,0.5438,99.4663,97.3588,10.1671,42.0427,24.167,0.6772,2.1458,17.5906,5.2841,0.2084,0.2084,0,1.1945,8.958,0.3354,3.036,44.884,24.5481,4.8455,19.1607,0.1279,0.414,2.8934,16.9573,1.1853,15.6751,0.0576,0.0393,0.2778,1.7775
453610968,3.3294,14.5358,85.7214,82.3957,6.348,49.3979,13.6973,0.8522,2.8425,35.4907,8.8496,0.4227,0.422,6e-4,1.4621,16.8045,4.4051,5.2636,26.3902,19.2119,5.341,13.6268,0.1149,0.1292,1.4109,5.6438,1.0538,4.4594,0.1018,0.0287,0.246,0.8434
453610969,3.6251,1.7461,98.2656,94.9982,5.9583,49.7909,27.0282,0.6945,5.654,23.0141,9.6655,0.3668,0.3636,0.0033,2.8537,11.3406,0.6307,1.4054,39.1852,28.4166,6.8639,20.578,0.3499,0.6248,2.4055,7.4373,1.0516,6.2202,0.0977,0.0678,0.531,3.2283
453610974,3.7929,27.1937,72.8849,69.3047,8.9602,42.6038,14.0114,0.6101,1.1784,28.5917,7.8572,0.582,0.5802,0.0019,1.8753,14.0831,0.806,5.8054,17.4955,10.745,3.0306,7.2839,0.1185,0.3119,0.8035,5.2802,0.9389,4.2259,0.0599,0.0555,0.2558,0.8671
453610978,12.8485,9.5079,90.5416,78.4587,1.2005,66.97,45.8851,0.9275,2.9766,21.0849,12.9823,0.1619,0.1606,0.0013,1.2501,4.7754,0.6986,2.6018,9.9991,4.2146,1.2393,2.5831,0.0937,0.2985,0.4055,4.4394,2.6768,1.0961,0.1017,0.5648,0.1044,1.1684
453610979,2.5576,19.8715,80.3193,77.9459,13.3731,33.6286,13.8593,0.7361,3.0686,19.7688,6.4473,0.5161,0.5145,0.0015,0.472,7.7182,0.8313,4.7377,30.596,21.7728,4.0253,17.2547,0.2429,0.2499,1.6367,6.7189,1.2507,5.2957,0.1027,0.0698,0.4037,1.3205
453610985,5.1059,5.9109,94.138,89.0395,9.306,48.1393,24.4776,0.851,4.4855,23.6617,10.3679,0.3613,0.3598,0.0015,2.2165,9.7877,1.1385,2.1866,31.1336,15.5343,3.5404,8.809,1.4005,1.7844,0.924,10.7255,2.5004,4.0009,2.5113,1.7129,0.2985,4.9176
453610988,4.6322,12.754,87.2971,82.9689,8.0138,49.981,21.3023,0.7147,2.471,28.678,11.2041,0.5581,0.5568,0.0013,2.6236,13.6259,0.6715,3.2643,24.7815,14.6407,3.1425,11.1818,0.1559,0.1605,1.054,8.1533,1.3377,6.6518,0.0943,0.0694,0.3413,1.0979
453610997,7.7725,21.7958,78.2648,70.7097,5.9122,51.0736,26.744,0.645,2.8973,24.0284,9.3245,0.3778,0.3706,0.0071,2.263,9.9196,0.4009,4.4101,13.3105,7.9436,2.026,5.7037,0.098,0.1158,0.6825,4.3014,0.8535,3.3713,0.0428,0.0339,0.0998,0.6183
453610998,2.2803,14.6859,85.4733,83.3301,12.3018,34.9634,16.1478,0.7272,4.5915,18.8144,7.107,0.4932,0.4925,6e-4,0.5888,7.755,0.7958,3.2006,35.5874,21.2482,4.8406,15.7584,0.251,0.3982,1.733,12.0728,3.7441,5.7728,0.8146,1.7412,0.5347,1.6544
