cytof_id,B.cells,Basophils,cDC,Eosinophils,gdT,Memory.B.cells,Memory.CD4.T.cells,Memory.CD8.T,Monocytes,Naive.CD4.T.cells,Naive.CD8.T.cells,Neutrophils,NK.cells,NKT,pDC,Treg
453610959,17.8531965272297,1.14811891607472,0.331491712707182,0.572480926072086,0.510392002104709,0.478821362799263,4.90923441199684,1.68061036569324,8.32202052091555,9.87424362009997,7.72954485661668,41.0891870560379,4.06945540647198,0.31360168376743,0.371481189160747,0.746119442252039
453610960,5.1685393258427,0.224719101123596,NA,0.449438202247191,2.47191011235955,0.224719101123596,7.64044943820225,0.674157303370786,0.449438202247191,10.561797752809,4.04494382022472,64.4943820224719,3.14606741573034,NA,0.224719101123596,0.224719101123596
453610961,15.4052236876131,0.443754848719938,0.401344711662788,0.873028187225239,2.20429273338505,0.47788983708301,5.27333850530127,7.04008275148694,0.472717869149211,12.3310059477631,6.48357900181019,39.6969226790794,7.72692009309542,0.266873545384019,0.30411171450737,0.598913886733902
453610962,11.4036866546347,0.609372782025024,0.25044106016669,0.0740169934905603,1.93863687060207,0.175410135258451,6.58041490073611,0.274775414190984,0.472492040638371,10.2741670553404,8.7106848092795,52.3573905461035,5.46610427270699,0.345750613428508,0.295054042544562,0.771601808853649
453610963,15.0392985082607,0.0812703844303053,0.229909640164679,0.00106934716355665,2.36218788429664,0.346468480992354,4.12981874565578,7.50040100518633,7.89178206704807,19.0643212318879,7.52820403143881,27.1026038603433,6.65668609314014,0.391381061861733,0.217077474202,1.45752018392771
453610964,9.23717371737174,0.0470501595614107,0.209680058914982,0.00818263644546273,0.237296456918419,0.161607069797889,1.79097455200065,0.243433434252516,9.85393993944849,6.92864741019557,4.09234105228705,64.35745847312,2.13055396448736,0.157515751575158,0.09000900090009,0.454136322723181
453610965,14.6445325589188,0.187088126884843,0.174522506422428,0.00977326035965598,2.09427007706914,0.280632190327265,11.0605383670278,0.516586619010388,2.94035518820507,5.84999441527979,5.6936222495253,47.3891433039205,8.04339327599687,0.469116497263487,0.188484306936222,0.457947056852452
453610966,9.39706793309932,0.504852364237043,0.258104480693785,0.21887259962833,0.444972124716085,0.237456122238282,3.80652488127194,0.051620896138757,10.2488127193888,16.3307867024572,4.53850918851951,49.0099112120586,3.53499896758208,0.205451166632253,0.387156721040677,0.824901920297336
453610967,15.084231453385,0.101496285445223,0.326462278957832,1.99853510515852,1.07565135502773,0.29297896829549,2.04248195040285,1.1520351574762,8.16469603432039,15.543580621534,5.42743538767396,44.6468557078581,2.68494297373653,0.196714450141258,0.169509260228105,1.0923930103589
453610968,5.71031643941343,0.420890146642655,1.07435039876511,0.083354772317983,0.486750707486493,0.326215590429637,5.49215333161821,0.109081553897607,1.95420632878827,14.4049395420633,5.34808335477232,57.9418574736301,5.21636223308464,0.22948289169025,0.371494726009776,0.830460509390275
