cluster,count,pct,CD45,CD33,CD26,CD11c,IgD,HLA.DR,CD57,CD71,CD49d,CD43,CD3,CD15,CD81,CD52,CD1c,CD55,CD25,CD64,CD123,gdTCR,Siglec.8,CD95,CX3CR1,CD20,CD9,pan.KIR,CD22,CD14,CD161,CD29,CD137,CD10,CD127,CD24,CD27,CD141,CD45RA,CD38,CD85j,CD147,CD56,CD99,CD28,CD39,CD8a,CD5,CD7,CD4,CD16,lineage
121,907637,0.0400926900259055,-0.648035379100145,0.903091117096307,-0.49458715970421,0.697940225468839,-0.473250710938581,-0.547727631239403,0,-0.310684993468545,-1.11136927311457,0.602165489198,-0.576210310420961,4.38213535438592,-1.55821988990801,-0.876119053436148,-0.459902430619074,1.74147856464447,-0.235019389165706,0.568276129868571,-0.35302927106272,-0.169310489676384,-0.301775407755033,1.15578543609387,0.550798011466453,-0.404935723803853,0.161000187249061,-0.0512265941804806,-0.476852000056971,-0.201757176938374,-0.426237754441138,0.113551457032879,0.077305288516541,0.172822853247928,-0.661498944395728,3.14348257444749,-0.682450515193396,-0.423478483076002,-0.891252366000985,-1.04229513522,-0.116512349631154,0.727718204002713,0.227014730395846,0.448334583319922,0.158812755555188,1.24381071144737,-0.240822222966576,-0.769561489094404,-0.910755239870527,-0.668602908732717,4.43951296801385,Neutrophils
126,1287583,0.0568758943295893,-1.395348179981,-0.64541419492183,-0.49458715970421,0.287417495061675,-0.473250710938581,-0.547727631239403,0,-0.53825809864424,-1.11516173104734,-0.69810632617275,-1.11850374175081,2.41290006718191,-2.31687955404967,-1.46290583571947,-0.459902430619074,1.09858778740702,-0.235019389165706,0.0627581070601695,-0.35302927106272,-0.169310489676384,-0.301775407755033,-0.571131887153224,-0.359833740136784,-0.564717656572098,-0.694006180246378,-0.543625946016558,-0.748366577381135,-0.544387168539355,-0.789457606938333,-1.19989094240255,-1.10449708500462,-0.619326841043033,-0.661498944395728,2.28202238003828,-0.807857171662781,-1.1430196394703,-1.20238056490492,-1.41215247499195,-0.39896974533884,0.12659745007138,-0.610058657765379,-0.415010636955437,-1.33482944723468,0.720870279604303,-0.513717128055678,-1.00014498307206,-0.987252251092435,-0.806858419674376,3.67873072618977,Neutrophils
127,2198224,0.0971012788587354,-0.826137527956007,0.683987707683342,-0.49458715970421,0.51706889081779694,-0.473250710938581,-0.547727631239403,0,-0.519480535957234,-1.12774901248007,0.192284791687921,-0.819886406144749,4.12690173520454,-2.02218634089036,-1.24872879151211,-0.459902430619074,1.47158429999224,-0.235019389165706,0.355968823951907,-0.35302927106272,-0.169310489676384,-0.301775407755033,1.10639457690304,-0.0651228092499868,-0.516850584600804,-0.490776884601966,-0.44335632621521,-0.748366577381135,-0.267498663473714,-0.789457606938333,-0.334041293259389,-0.416518235887107,0.00350528092032484,-0.661498944395728,3.07461686036243,-0.754664290808188,-0.480678245766753,-1.03178345892205,-1.24178193817554,-0.200425645948392,0.534293042857776,-0.128350772622564,0.0548307641731521,-1.33482944723468,1.11242022010654,-0.286830280098314,-0.943643348280577,-0.926732237988029,-0.695042149071716,4.4774306298296,Neutrophils
1,74003,0.00326890523412673,-1.84860527226564,0.670976090883633,-0.49458715970421,-0.612175270395249,0.0477122934880901,-0.547727631239403,0,1.90314391418276,-1.10646797188018,0.523521296013069,-0.539575570754463,0.819623768949176,0.529629984750997,-0.104773014243371,-0.150453415346847,2.54495485226799,-0.235019389165706,0.0445570674463616,0.103076587818878,-0.169310489676384,3.21238982006204,1.5662176975642501,3.96823657785864,1.45984518179732,3.42537596695674,4.40574649352769,0.357941252209229,2.02033538679414,2.30382257972357,2.89851684091602,3.08319767867079,5.05187991725768,0.0407353152109196,0.904036898044201,-0.64208046474842,2.67045709122086,-0.568226175724642,0.157184949725867,1.98320630377252,2.10083861178276,3.1762617786078,3.61414789415645,3.13062634504471,-0.379258725671094,-0.679889285260588,-0.755496239465164,-0.97771128280878306,-0.801583708695386,-0.238885486583205,Eosinophils
3,432121,0.0190879099317065,-0.510359252692905,1.85326129234678,-0.49458715970421,0.00798138079780163,-0.473250710938581,-0.547727631239403,0,1.88184554044992,0.0183469269149198,1.45782282559175,0.140677868321999,1.56489963538262,1.44582699497317,1.25560276221744,-0.161692962970608,1.15933432132065,-0.235019389165706,0.066134502289649,0.100861827182227,-0.169310489676384,3.37420958390667,-0.571131887153224,1.10724197697419,0.104007638416262,1.77311346963081,1.4569157906117,-0.333215408563525,-0.0161498313958321,0.160412892054663,0.51626898683249,0.495088399676264,0.20599439179487,-0.281982262081777,2.21377835660734,-0.671478895560858,-0.430259160584109,-1.05231710765789,-1.24576170415946,0.137862268110279,0.634638741811844,0.31030288653077,0.619218295648542,0.646824822486144,1.35413611888742,1.2055952866816,1.61887280012937,0.296433642706469,1.24615306986777,0.190916910931213,Neutrophils
4,60198,0.00265910243211709,0.855428282127642,0.66260181179376,-0.49458715970421,-0.236214427939269,2.47813011562596,2.20351859390618,0,1.15074127676751,1.46643212646296,0.623795426531601,-0.40062048744511,0.518873626357793,1.54238673533612,1.66169651323207,2.29744059649123,1.00036507566828,-0.235019389165706,-0.167336665138257,0.211024165570323,-0.169310489676384,-0.301775407755033,1.00082150511787,1.53621766765238,2.27199161109545,1.29254482456286,1.11686726756872,2.51046840177974,0.0168598252784956,0.552036549655389,0.872696192633383,0.883524915563178,0.603911931770693,-0.32044666450846,1.14563171458185,-0.575488117729333,-0.226301350201584,1.48664800857929,1.100911628128,0.628815384415702,0.658836278509585,0.823091902996962,0.721912669706375,1.00285480583659,1.40414213144718,0.136417098039128,-0.10092603500284,-0.576716229425212,-0.342811869904128,0.223444553057725,B cells
5,158565,0.00700422899678803,0.232889587785843,-0.64541419492183,-0.49458715970421,-0.612175270395249,1.00972520114112,1.1024693410529,0,-0.500848518175039,1.24776810677881,-0.969401306014087,-0.888202373289911,-0.128197150027398,1.98829517390918,1.28822106439343,0.0897527259322098,0.0515204754309041,-0.235019389165706,-0.563288258985269,0.542866435376993,-0.169310489676384,-0.301775407755033,-0.571131887153224,0.737376140971668,2.36120777510038,1.33632610629858,0.947190349479552,0.516250207094446,-0.162357956754183,0.291706123123318,0.356726117043312,0.311093674626152,0.114417903982403,-0.661498944395728,2.12497310552979,-0.754106721658922,-0.435745624994634,1.0991178977817,1.80875113587403,-0.243352575832116,-0.211980655383848,-0.356208126068336,-0.404378121734811,0.28517618727722,-0.492979574074339,-0.440047886555389,-0.923783672173984,-0.981531563765293,-0.803902302138501,-0.46247330038511,B cells
6,218298,0.00964279116791747,0.292440829422033,-0.64541419492183,-0.49458715970421,-0.612175270395249,2.64378011270257,2.00981226826468,0,-0.322839248178146,0.728433858542957,-1.05640542851153,-0.854079442127178,-0.448703250389036,1.30996674696157,1.06133464727113,1.05572538967607,0.185332819500264,-0.235019389165706,-0.563288258985269,0.100549107798611,-0.169310489676384,-0.301775407755033,-0.571131887153224,0.693002488537819,2.35072839786362,0.652396959615284,0.342845127175738,2.02737624497262,-0.200488610540266,-0.0724790441064814,0.0283302268367423,-0.0372836290399097,-0.0306286799645552,-0.661498944395728,1.23943634244418,-0.757519469060342,-0.495366539576145,1.23936453908804,1.43949276923125,-0.239020755487074,-0.329910069462562,-0.494888237882609,-0.457144278004201,0.24998525579524,-0.220073702709022,-0.39765803856222,-0.807306539633182,-0.982839680085751,-0.805030863187868,-0.423746358582866,B cells
7,244145,0.0107845204706008,0.602878835678988,-0.64541419492183,-0.49458715970421,-0.612175270395249,3.56382998644683,2.51995200810833,0,-0.235347852901939,0.739375756974048,-0.841655338435693,-0.777617455028504,-0.42689797116414,0.860368410529584,1.29451584803247,3.33467608576806,0.430622383400661,-0.235019389165706,-0.27780319885748,-0.35302927106272,-0.169310489676384,-0.301775407755033,-0.571131887153224,0.73763674746099706,2.30993011636471,0.295357731235917,0.182590195996833,3.10901789540628,-0.201504537385567,-0.248637063948383,-0.0857540860383195,-0.141100281466058,-0.0617443835409348,-0.661498944395728,0.548562548525447,-0.755821561142528,-1.1430196394703,1.48962701086178,0.747979519657813,-0.144939141454874,-0.302889825192873,-0.369969505096497,-0.357981359896207,0.507762348264792,1.15759388549183,-0.346385199835361,-0.7605085310047,-0.963747329526881,-0.775642172396047,-0.29566096500222,B cells
8,23645,0.00104446122807084,0.960850307467243,2.24759205701381,1.09336628163085,2.0869067172931,2.39541745387674,2.24427036334894,0,0.974057667151317,1.88705930513017,0.445217921449991,-0.402226410231867,0.516578758720909,1.19156093597138,1.2477094952955,1.81564655361355,1.81918188443546,-0.235019389165706,2.41434476042807,0.754755941803135,-0.169310489676384,-0.301775407755033,1.5910069186399,1.11333323553631,2.08915636177773,0.523105299767589,0.380755968625137,2.19137766834843,2.45065274289413,0.235993243139613,1.0523329298945,1.05708519216135,0.812772711353374,-0.661498944395728,0.793165702323574,-0.672844726035069,0.71181742812259,1.21522452667377,1.14348082092388,2.09567182961574,1.51552913282566,1.45693936021469,1.77424335541543,1.6772152140744,1.78388137141144,-0.0617175125729564,-0.477006702785839,-0.787579881239018,0.0476542354048858,0.273037072633552,cDC
