protein,lrt_chisq,lrt_df,p_value,p_fdr
HLA.DRA,1.5175781144087068,2,0.4682330873278324,0.8614718688319216
TBC1D5,0.5364966209504018,2,0.764717870067679,0.9307852054633672
EPO,9.228478390147416,2,0.009909719903422742,0.3230798306188107
CCL7,7.115534803237324,2,0.028502388117581694,0.6802569964062831
DAPP1,1.2040223921420647,2,0.5477089774907821,0.8676097962022123
EDAR,4.609912967605965,2,0.09976314187169809,0.7760494874942448
TRIM5,0.6481761885402193,2,0.723186530983979,0.9294716053278546
DPP10,1.4189432443056944,2,0.49190404000506144,0.8614718688319216
ITGA6,5.60018856997749,2,0.06080432941942963,0.7760494874942448
FCRL6,2.7760038125152278,2,0.24957347797201124,0.8283552355213178
LSP1,1.2771831844681856,2,0.5280355900054853,0.8614718688319216
STX8,1.1312366604546469,2,0.5680088211276162,0.8787256461973959
HLA.E,1.7462197144739093,2,0.4176506935264712,0.8555327144056164
TRIM21,0.05053643622420623,2,0.9750483513242402,0.9954627357671685
PSIP1,0.5656977894009287,2,0.7536336572958888,0.9307852054633672
IL7,0.7208435500019732,2,0.6973821256854594,0.9294716053278546
SAMD9L,0.47659810046297935,2,0.7879670141379185,0.9309973302355605
SIGLEC10,3.315737806235518,2,0.1905446167611987,0.7760494874942448
ISM1,1.9245560936331856,2,0.38202163081192714,0.8555327144056164
SLC39A5,0.10173588640961384,2,0.950404169574516,0.9835764529340022
BTN3A2,1.7872522449894177,2,0.409169361237247,0.8555327144056164
MLN,0.3349789604249054,2,0.84578551472597,0.9694544773285488
SCRN1,3.843604545417975,2,0.14634297436398527,0.7760494874942448
PROK1,0.023202254097157038,2,0.9884659065536302,0.9954627357671685
IKBKG,0.2251058017750438,2,0.8935500762661123,0.9835764529340022
NFATC1,0.12726499213829356,2,0.9383497834060512,0.9835764529340022
CCL26,1.8470347010024852,2,0.39711977223770806,0.8555327144056164
CLEC4C,1.6446528689160687,2,0.4394082100783374,0.8555327144056164
CEACAM21,3.4670722793455298,2,0.17665861463636695,0.7760494874942448
PSMG3,0.09230298014517757,2,0.9548972937727283,0.9851678131718636
COL9A1,0.7602430554661055,2,0.6837783061353385,0.9294716053278546
GOPC,1.1181677285987917,2,0.571732608647138,0.8787256461973959
MAP2K6,0.173691559079316,2,0.9168184768984875,0.9835764529340022
NT5C3A,1.3168475901712782,2,0.5176666404809754,0.8614718688319216
ARHGEF12,3.4196757091846166,2,0.1808951215525153,0.7760494874942448
CASP2,2.3759438884920883,2,0.30483886780749614,0.8439922155429567
CNTNAP2,0.3003585410814935,2,0.8605536906705575,0.9749310799368975
MAPK9,1.1522252854873614,2,0.5620791274956628,0.8787088543381978
BCR,0.823235787562453,2,0.6625774026343872,0.9263233276536772
CLIP2,0.8961464467599853,2,0.6388579029842124,0.9202227663260678
SELPLG,1.6342718598397923,2,0.44169488976363774,0.8555327144056164
CXADR,0.7021882161160988,2,0.7039175064289045,0.9294716053278546
IL15,0.6070512205295984,2,0.7382109831109507,0.9294716053278546
IL6,1.2605277937774417,2,0.5324512702312861,0.8614718688319216
FCAR,0.4969545077121893,2,0.7799876023436038,0.9307852054633672
CD83,4.505562478724016,2,0.10510649135903893,0.7760494874942448
NCR1,4.301991700931723,2,0.11636821471127093,0.7760494874942448
NCF2,0.7280816047233429,2,0.6948628421194913,0.9294716053278546
NPPC,0.5269396501915935,2,0.7683808079066873,0.9307852054633672
CCL28,0.5953603923949231,2,0.7425387685021408,0.9294716053278546
PTX3,1.4713937868152698,2,0.4791714111929775,0.8614718688319216
PTH1R,1.5078273416183663,2,0.4705214784141399,0.8614718688319216
EGLN1,0.3012107337259522,2,0.8601870900170236,0.9749310799368975
CLEC4A,1.5790797210423193,2,0.4540536752432042,0.8555327144056164
OSM,3.52998250657447,2,0.17118828381313983,0.7760494874942448
HSD11B1,2.134133434371847,2,0.3440161354998586,0.8555327144056164
IL4R,0.17451390110284137,2,0.9164415852065174,0.9835764529340022
IRAK4,0.6136930255672723,2,0.7357635225359945,0.9294716053278546
ICAM4,4.102862232379323,2,0.12855080075080216,0.7760494874942448
DECR1,0.2784117326693831,2,0.870048896242966,0.9779421326186479
LY75,1.770873313603488,2,0.4125339981683178,0.8555327144056164
ITGA11,1.8384149588204934,2,0.3988350008157409,0.8555327144056164
