follow_up_timepoint,n_synf,n_ctrlf,median_delta_synf,median_delta_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
V3,41,42,0.9990271139486155,0.888619538014335,0.39639348049278,0.22054092334426,-0.2111043197033063,0.6521861663918262,0.39639348049278
V5,41,41,1.6139284213673375,1.4558678543966264,0.20175460059839928,0.2847582108320873,-0.1503762816537152,0.7198927033178898,0.39639348049278
