module,n,kruskal_chisq,kruskal_df,p_value,p_fdr
turquoise,82,5.3097681009824385,3,0.15046980816199765,0.464693839942722
red,82,5.24218910628295,3,0.154897946647574,0.464693839942722
blue,82,3.9447721287853312,3,0.26748982843897584,0.4737080848633193
green,82,3.5384814877285464,3,0.3158053899088795,0.4737080848633193
yellow,82,1.768024914293079,3,0.6219176670456521,0.7463012004547825
brown,82,0.8828475186468836,3,0.8295650001655067,0.8295650001655067
