protein,follow_up_timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
LRRN1,V5,41,41,0.6296274224174463,-0.2365286862772765,-0.6709689941168957,0.19791162156234274,0.9577680963724599
PREB,V3,41,42,0.9242224567563853,0.15441239748554414,-0.27655121467451727,0.5853760096456055,0.9874488161592604
PREB,V5,41,41,0.24028701217282497,-0.039579539827353995,-0.4725145633308469,0.3933554836761389,0.7749797329537959
IL24,V3,41,42,0.8597820332680803,-0.08362503149818912,-0.5141248110203047,0.34687474802392654,0.9865447689422203
IL24,V5,41,41,0.9741058337218456,-0.007595619865486353,-0.4404888020371871,0.4252975623062144,0.9964165017853371
CEP164,V3,41,42,0.24695364966686686,-0.27563911693169924,-0.7080346679004874,0.156756434037089,0.8183649169894438
CEP164,V5,41,41,0.43255599686262547,-0.3277299329355476,-0.7635899584424934,0.10813009257139822,0.8603058159823329
NBN,V3,41,42,0.5346362924293818,-0.10592359660982761,-0.5365397707918924,0.32469257757223713,0.8358069549769376
NBN,V5,41,41,0.43800203933913184,-0.2018514279402091,-0.635871456701884,0.23216860082146584,0.8663244755989459
FCRL3,V3,41,42,0.15402807480681022,-0.41800537893635015,-0.8531003868059343,0.017089628933233958,0.8183649169894438
FCRL3,V5,41,41,0.7538005854797287,-0.20919241708293146,-0.6432959010388346,0.22491106687297174,0.9921345941240547
PRKAB1,V3,41,42,0.29869346496934723,-0.2580080556438792,-0.6901455302626631,0.17412941897490475,0.8183649169894438
PRKAB1,V5,41,41,0.7328651667700142,-0.09760911044062871,-0.5307648308798123,0.3355466099985549,0.9863373297130268
PNPT1,V3,41,42,0.3072464425439339,-0.16038048313092798,-0.5913957798050409,0.27063481354318486,0.8183649169894438
PNPT1,V5,41,41,0.36047464851328154,-0.23839268515466358,-0.672857454725211,0.19607208441588383,0.8250624074832577
