protein,n_synf,n_ctrlf,p_value,p_fdr
IFNG,41,42,0.22881387132033235,1
IFNGR1,41,42,0.4710121083671921,1
IFNLR1,41,42,0.9098446790172188,1
IKBKG,41,42,0.2944765045037564,1
IL10,41,42,0.8954960480996333,1
IL10RA,41,42,0.29869346496934723,1
IL10RB,41,42,0.9674843739256045,1
IL11,41,42,0.938624762914225,1
IL12B,41,42,0.26606613494889586,1
IL12RB1,41,42,0.6022812148117992,1
IL13,41,42,0.7340323528674527,1
IL15,41,42,0.8314101790488522,1
IL15RA,41,42,0.45440654232553734,1
IL16,41,42,0.13459760353862385,1
IL17A,41,42,0.5527034155695448,1
IL17C,41,42,0.9026664325927538,1
IL17D,41,42,0.5466482575921847,1
IL17F,41,42,0.5346362924293818,1
IL17RB,41,42,0.3115824863706327,1
IL18,41,42,0.29869346496934723,1
IL18R1,41,42,0.7892676803168979,1
IL1A,41,42,0.8243495478925863,1
IL1B,41,42,0.3072464425439339,1
IL1R2,41,42,0.7272162492611288,1
IL1RL2,41,42,0.8883340984505821,1
IL1RN,41,42,0.37644649500905375,1
IL2,41,42,0.7962527545635376,1
IL20,41,42,0.5110143023152617,1
IL20RA,41,42,0.1547668990615249,1
IL22RA1,41,42,0.7614997475241579,1
IL24,41,42,0.960264053498391,1
IL2RB,41,42,0.45990516513859414,1
IL32,41,42,0.2739858895438866,1
IL33,41,42,0.32932370860198124,1
IL3RA,41,42,0.5168688214617734,1
IL4,41,42,0.9891588188175907,1
IL4R,41,42,0.6149784304047602,1
IL5,41,42,0.15212826128781382,1
IL5RA,41,42,0.4654404249529499,1
IL6,41,42,0.6934646186624562,1
IL7,41,42,0.6537479778456265,1
IRAK1,41,42,0.45440654232553734,1
IRAK4,41,42,0.16847776753800905,1
ISM1,41,42,0.960264053498391,1
ITGA11,41,42,0.5649104793631483,1
ITGA6,41,42,0.8526707763765226,1
ITGB6,41,42,0.3163863278077358,1
ITM2A,41,42,1,1
JCHAIN,41,42,0.4822638560285441,1
JUN,41,42,0.42746994267325694,1
KLRB1,41,42,0.9458336643596891,1
