follow_up_timepoint,n_synf,n_ctrlf,median_delta_synf,median_delta_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
V3,41,41,0.22989917421858647,0.1723741350358347,0.6053445657409853,0.2246566349461634,-0.20963234850179813,0.6589456183941249,0.6053445657409853
V5,41,40,1.1052784783053915,0.7403915782223847,0.3740086758180563,0.1922707322666618,-0.2443485515017172,0.6288900160350408,0.6053445657409853
